AEYE,30-Oct-2020,17.56,17.7591,16.51,16.81,41400
AEZS,30-Oct-2020,0.325,0.325,0.297,0.3125,2076400
AFIB,30-Oct-2020,24.23,24.23,22.33,22.87,175000
AFIN,30-Oct-2020,5.82,5.8831,5.71,5.765,687100
AFINP,30-Oct-2020,23.46,23.85,23.46,23.85,25600
AFMD,30-Oct-2020,3.28,3.3,3.09,3.16,632000
AFYA,30-Oct-2020,23.76,24.6,23.2701,24,148600
AGBA,30-Oct-2020,10.25,10.25,10.25,10.25,500
AGBAW,30-Oct-2020,0.2022,0.2022,0.18,0.18,36800
AGCUU,30-Oct-2020,11.84,11.84,11.55,11.7,51400
AGEN,30-Oct-2020,3.73,3.84,3.64,3.69,1421100
AGFS,30-Oct-2020,2.1,2.1,2.02,2.06,196800
AGIO,30-Oct-2020,38.96,40.13,38.275,40.07,714700
AGLE,30-Oct-2020,7.99,8.13,7.5,7.68,162900
AGMH,30-Oct-2020,14.47,14.48,14.29,14.38,3800
AGNC,30-Oct-2020,14.01,14.095,13.87,13.97,7785800
AGNCM,30-Oct-2020,22.16,22.38,22.1,22.34,59200
AGNCN,30-Oct-2020,23.08,23.08,22.82,22.85,38000
AGNCO,30-Oct-2020,22.3499,22.3499,21.96,22.17,112800
AGNCP,30-Oct-2020,21.58,21.71,21.37,21.65,88000
AGRX,30-Oct-2020,2.93,2.94,2.71,2.72,1205700
AGTC,30-Oct-2020,5.25,5.27,5.06,5.16,71300
AGYS,30-Oct-2020,27.48,27.72,26.73,27.08,206600
AGZD,30-Oct-2020,46.9899,46.9899,46.76,46.8,5400
AHACU,30-Oct-2020,9.9,9.95,9.87,9.87,37000
AHCO,30-Oct-2020,27.44,27.6,26.332,27.3,206000
AHPI,30-Oct-2020,4.61,5,4.51,4.93,141600
AIA,30-Oct-2020,74.76,74.77,74.0209,74.26,103600
AIH,30-Oct-2020,5.66,5.75,5.54,5.58,53100
AIHS,30-Oct-2020,1.1,1.1,0.97,1.03,1690200
AIKI,30-Oct-2020,0.52,0.5259,0.4901,0.5088,961200
AIMC,30-Oct-2020,42.92,43.56,42.18,42.76,521600
AINV,30-Oct-2020,7.52,7.6,7.33,7.57,471500
AIQ,30-Oct-2020,23.59,23.59,22.98,23.11,28500
AIRG,30-Oct-2020,13.24,13.82,13.07,13.82,34700
AIRR,30-Oct-2020,26.51,26.73,26.3895,26.5397,9000
AIRT,30-Oct-2020,9.65,9.65,9.6437,9.6437,200
AIRTW,30-Oct-2020,0.0305,0.0345,0.0305,0.0345,1100
AKAM,30-Oct-2020,95.23,96.645,94.12,95.12,2692100
AKBA,30-Oct-2020,2.27,2.2825,2.09,2.22,7408300
AKER,30-Oct-2020,1.95,1.9522,1.8,1.85,260200
AKRO,30-Oct-2020,26.4,26.71,25.95,26.55,173700
AKTS,30-Oct-2020,8.485,8.92,8.05,8.29,860100
AKTX,30-Oct-2020,1.59,1.6236,1.5,1.5,122700
AKU,30-Oct-2020,3.54,3.68,3.515,3.68,61600
AKUS,30-Oct-2020,17.52,19.97,17.26,19.41,99300
ALAC,30-Oct-2020,10.81,10.81,10.81,10.81,400
ALACR,30-Oct-2020,0.3,0.3,0.2999,0.2999,1000
ALACW,30-Oct-2020,0.28,0.3,0.23,0.23,165000
ALBO,30-Oct-2020,32.5,33.05,31.2,31.56,158100
ALCO,30-Oct-2020,28.98,29.18,28.4229,28.88,5900
ALDX,30-Oct-2020,6.96,6.96,6.2957,6.68,666300
ALEC,30-Oct-2020,9.51,9.545,9.12,9.41,527400
ALGN,30-Oct-2020,432,435.9,417.36,426.08,767400
ALGS,30-Oct-2020,14.76,15.66,14.1782,14.94,87000
ALGT,30-Oct-2020,134.64,137.77,130.41,134.76,203600
ALIM,30-Oct-2020,4.11,4.445,4.11,4.245,420500
ALJJ,30-Oct-2020,1.02,1.04,0.9792,1.03,117200
ALKS,30-Oct-2020,16.48,16.72,16.08,16.25,1205700
ALLK,30-Oct-2020,88,98.72,85.9355,95.13,783900
ALLO,30-Oct-2020,35.41,36.25,33.65,33.92,535600
ALLT,30-Oct-2020,9.34,9.34,9.02,9.13,85400
ALNA,30-Oct-2020,1.26,1.3,1.22,1.25,274600
ALNY,30-Oct-2020,122.8,124.6,119.29,122.97,733500
ALOT,30-Oct-2020,7.91,7.98,7.9,7.9,8400
ALPN,30-Oct-2020,7.7,7.72,7.21,7.5,29100
ALRM,30-Oct-2020,58.32,59.12,57.63,58.33,464700
ALRN,30-Oct-2020,1.26,1.28,1.15,1.15,909800
ALRS,30-Oct-2020,22.09,22.265,21.505,21.51,17800
ALSK,30-Oct-2020,1.92,1.93,1.88,1.91,91400
ALT,30-Oct-2020,11.24,11.52,10.87,11.45,1088000
ALTA,30-Oct-2020,22.04,22.08,21.6,21.77,26900
ALTM,30-Oct-2020,9.63,9.934,9.46,9.65,8800
ALTR,30-Oct-2020,44.81,45.37,42.48,43.03,175400
ALTY,30-Oct-2020,10.36,10.406,10.25,10.3175,8100
ALVR,30-Oct-2020,26.25,26.76,24.58,26.43,149200
ALXN,30-Oct-2020,116.43,117.23,113.235,115.14,1820200
ALXO,30-Oct-2020,39.89,40.74,38.09,39.51,47600
ALYA,30-Oct-2020,2.4,2.48,2.26,2.46,11300
AMAG,30-Oct-2020,13.69,13.73,13.69,13.72,861500
AMAL,30-Oct-2020,11.235,11.245,10.93,11.1,48000
AMAT,30-Oct-2020,58.74,59.28,58.26,59.23,7338600
AMBA,30-Oct-2020,55.07,55.52,54.13,54.67,321600
AMCA,30-Oct-2020,27.44,27.46,27.44,27.44,14200
AMCI,30-Oct-2020,10.21,10.3038,10.21,10.24,75500
AMCIW,30-Oct-2020,0.4,0.409,0.316,0.35,198300
AMCX,30-Oct-2020,21.38,21.5952,20.48,21.25,1628900
AMD,30-Oct-2020,77.09,77.7,74.23,75.29,51426100
AMED,30-Oct-2020,250,259.85,249.48,259,279100
AMEH,30-Oct-2020,17.65,17.89,17.04,17.26,44600
AMGN,30-Oct-2020,216.22,217.27,213.96,216.94,3262700
AMHC,30-Oct-2020,9.84,9.84,9.84,9.84,1000
AMHCW,30-Oct-2020,1,1.018,1,1.018,600
AMKR,30-Oct-2020,11.69,11.92,11.605,11.85,1470500
AMNB,30-Oct-2020,23.07,23.3899,22.285,22.8,13300
AMOT,30-Oct-2020,39.38,39.53,37.53,37.78,25100
AMPH,30-Oct-2020,20.07,20.07,19.32,19.59,164100
AMRB,30-Oct-2020,10.5079,10.5773,10.355,10.5773,1600
AMRH,30-Oct-2020,1.25,1.25,1.14,1.17,242200
AMRHW,30-Oct-2020,0.06,0.06,0.0539,0.06,11700
AMRK,30-Oct-2020,31.49,31.7999,30.66,31.08,31500
AMRN,30-Oct-2020,4.89,4.975,4.7298,4.86,3481500
AMRS,30-Oct-2020,2.6,2.66,2.44,2.5,1686900
AMSC,30-Oct-2020,14.14,14.3,13.62,13.91,465800
AMSF,30-Oct-2020,59.46,62.8064,58.23,58.98,195600
AMST,30-Oct-2020,4.38,4.38,4.12,4.25,16200
AMSWA,30-Oct-2020,14.71,14.975,14.42,14.68,86300
AMTB,30-Oct-2020,10,10.43,9.41,10.07,30200
AMTBB,30-Oct-2020,7.61,8.33,7.61,7.99,1000
AMTI,30-Oct-2020,30.98,31.24,28.61,29.39,121600
AMTX,30-Oct-2020,3.94,4.05,3.53,3.69,568500
AMWD,30-Oct-2020,83.19,83.3,80.725,82.61,137500
AMYT,30-Oct-2020,13,13.21,12.6001,12.855,2100
AMZN,30-Oct-2020,3157.75,3167.004,3019,3036.15,8396000
ANAB,30-Oct-2020,29.12,30.39,28.84,29.46,440800
ANAT,30-Oct-2020,69,69.88,68.12,68.8,42700
ANCN,30-Oct-2020,1.14,1.36,1.14,1.29,142500
ANDA,30-Oct-2020,10.11,10.29,10,10.29,8800
ANDAR,30-Oct-2020,0.251,0.251,0.251,0.251,1700
ANDAW,30-Oct-2020,0.2499,0.2499,0.221,0.245,29200
ANDE,30-Oct-2020,22.345,22.345,21.51,21.69,145200
ANGI,30-Oct-2020,10.91,10.92,10.445,10.6,2097900
ANGL,30-Oct-2020,29.83,29.895,29.65,29.89,1888500
ANGO,30-Oct-2020,10.63,10.75,10.17,10.34,230300
ANIK,30-Oct-2020,33.69,33.69,32.04,32.62,140600
ANIP,30-Oct-2020,26.07,26.36,25,25.49,52400
ANIX,30-Oct-2020,2.08,2.19,2.03,2.06,154100
ANNX,30-Oct-2020,21.51,22.58,20.565,20.81,72000
ANPC,30-Oct-2020,3.34,3.39,3.18,3.2075,18300
ANSS,30-Oct-2020,306.35,309.28,301.255,304.37,422600
ANTE,30-Oct-2020,1.05,1.1,1.05,1.07,41400
ANY,30-Oct-2020,1.56,1.6,1.41,1.48,351500
AOSL,30-Oct-2020,15.75,16.17,15.4777,15.86,86900
AOUT,30-Oct-2020,16,16.09,14.88,15.13,367400
APA,30-Oct-2020,8.21,8.3,7.96,8.3,11479700
APDN,30-Oct-2020,6.8,7.98,6.6001,7.71,396100
APEI,30-Oct-2020,27.65,28.93,27.65,28.27,83900
APEN,30-Oct-2020,1.8,1.85,1.75,1.75,28900
APEX,30-Oct-2020,6.85,6.85,6.63,6.66,10900
APHA,30-Oct-2020,4.44,4.5,4.31,4.5,4093400
API,30-Oct-2020,42.07,42.4315,37.96,38.5,1341600
APLS,30-Oct-2020,32.53,33.13,31.26,31.9,405000
APLT,30-Oct-2020,16.84,17.305,15.61,16.27,164900
APM,30-Oct-2020,2.19,2.19,2.07,2.1,423400
APOG,30-Oct-2020,24.05,24.29,23.61,23.89,162400
APOP,30-Oct-2020,1.81,1.868,1.7,1.81,272200
APOPW,30-Oct-2020,0.3,0.335,0.201,0.25,45700
APPF,30-Oct-2020,145.2,145.2,140,142.87,102400
APPN,30-Oct-2020,64.29,65.6,62.29,63.3,518700
APPS,30-Oct-2020,29.94,31.72,25.26,28.66,10753400
APRE,30-Oct-2020,22.58,24.175,21.29,21.81,119600
APTO,30-Oct-2020,4.58,4.65,4.39,4.49,512000
APTX,30-Oct-2020,3.06,3.1074,2.83,2.93,1566400
APVO,30-Oct-2020,6.495,6.5685,6.36,6.46,18900
APWC,30-Oct-2020,1.38,1.4,1.23,1.23,210400
APXT,30-Oct-2020,10.15,10.175,10.06,10.06,141800
APXTW,30-Oct-2020,1.31,1.36,1.31,1.36,20400
APYX,30-Oct-2020,5.88,6.13,5.73,6.02,85600
AQB,30-Oct-2020,3.98,4,3.72,3.8,381300
AQMS,30-Oct-2020,0.9075,0.916,0.88,0.89,255800
AQST,30-Oct-2020,5.14,5.1699,4.76,4.84,583500
ARAV,30-Oct-2020,4.77,4.79,4.42,4.63,122500
ARAY,30-Oct-2020,3,3.03,2.87,2.91,969300
ARCB,30-Oct-2020,30.14,30.87,29.63,30.52,154200
ARCC,30-Oct-2020,13.81,13.91,13.54,13.83,2268500
ARCE,30-Oct-2020,34.5,34.83,33.09,34.08,226000
ARCT,30-Oct-2020,54.37,54.97,51.1,54.08,398400
ARDS,30-Oct-2020,6.45,6.771,6.19,6.19,5200
ARDX,30-Oct-2020,5.21,5.22,5.06,5.11,341700
AREC,30-Oct-2020,1.52,1.52,1.39,1.44,1442400
